Host,Strain,Temperature,Plate,Round,1,2,3,4,5,6,7,8,9,Mean_Growth
Robusta,392263,15,1,A,1.313390851,1.441016981,1.58021187,0.562831825,0.264171885,0.313320438,0.077898031,0.094813977,0.004963863,0.262607231
Robusta,392263,15,2,A,1.43641257,1.182796063,0.508857952,0.821238055,0.363354299,0.15883168,0.250469728,0.229294091,0.111798732,0.364637571
Robusta,392263,20,1,A,3.867559806,3.827685209,3.612896773,2.923665217,3.178235747,3.508063355,3.619397002,2.597617011,2.643867101,3.165395666
Robusta,392263,20,2,A,2.340263587,3.355461639,6.188922278,2.732581789,2.923230571,3.303798645,3.860524411,4.326179452,3.021441083,3.429262974
Robusta,392263,20,3,A,3.561419186,4.109040232,4.073247896,3.729050721,3.184063463,2.610358412,3.810392424,3.144583503,2.027860356,3.295689705
Robusta,392263,25,1,A,3.674534914,3.49041555,5.791594134,4.555755449,4.035657864,3.93736989,3.780924256,4.036107051,3.97229008,4.069162902
Robusta,392263,25,2,A,2.660943517,5.5398334,4.629626291,4.685764939,4.102800651,3.582325684,4.410723773,4.088135502,3.580452575,4.17395011
Robusta,392263,30,1,A,1.951545355,1.796116061,0.133206398,1.250784926,1.985407648,0.861605,0.846491461,0.91304084,0.889462645,1.171465975
Robusta,392263,30,2,A,2.295850332,1.373005322,1.253528316,1.464033623,1.706667638,1.305045286,1.261816317,0.999824963,1.47252162,1.347477565
Robusta,392263,30,3,A,2.831367377,1.377730707,1.058686277,1.272976992,0.914949454,1.108852405,0.875667844,1.091956307,1.489576593,1.0528806
Robusta,392263,40,1,A,2.759598668,3.385063326,1.651705342,0.972336316,0.331095321,0.736616087,1.25568717,0.753560853,0.910543681,0.809859149
Robusta,392263,40,2,A,3.160172847,0.455119131,0.144788171,0.240958414,0.046743577,0.090940879,0.181443383,0.450595691,0.171473408,0.202136389
Robusta,392278,15,1,A,2.212730162,1.771082984,0.731304894,0.661618004,0.151344478,0.112181522,0.313183714,0.358002686,0.062892023,0.319266081
Robusta,392278,15,2,A,1.79757368,1.746731298,1.04896218,0.584919046,-0.019267354,0.283463263,0.085744516,0.142674969,0.006490225,0.215506888
Robusta,392278,20,1,A,3.591502471,4.04479877,5.298517309,4.288833028,4.100034432,3.119956283,4.70061017,3.898252207,3.132844091,4.021537224
Robusta,392278,20,2,A,3.620873191,6.328451133,5.371192924,3.78747716,4.198113632,4.113236649,4.38006606,4.763064313,3.413193923,4.248391563
Robusta,392278,25,1,A,4.218578319,5.025759998,5.161953585,4.605129011,3.052203677,4.059611094,5.466316673,4.634985662,3.494975272,4.363649223
Robusta,392278,25,2,A,2.502880513,4.058998577,5.485066723,3.873124943,4.329735261,4.331961991,4.23961458,4.191977156,3.723293405,4.193282786
Robusta,392278,30,1,A,1.920687106,1.265282176,0.452182057,0.714157905,1.099432212,0.534390514,0.921202267,0.997054353,1.443693235,0.85324745
Robusta,392278,30,2,A,1.370856646,1.247306016,1.54516831,1.594143636,0.85254957,0.932503327,0.735186094,0.686551855,0.267952429,0.960186896
Robusta,392278,30,3,A,1.633594446,1.491122067,0.295281935,1.013709518,1.436658953,1.083676759,1.309087313,0.559878686,0.899845387,1.080602246
Robusta,392278,40,1,A,3.981510593,2.112053545,0.79002105,0.495848908,0.730757043,0.995884832,0.515552147,0.177421065,-0.042172465,0.583092799
Robusta,392278,40,2,A,3.923065272,2.006180052,0.630119589,0.48730564,0.313191119,0.587712115,1.340840647,1.594548984,1.210090354,0.864719701
Arabica,389563,15,1,A,1.281477812,1.225086075,0.597096436,0.540833331,0.116454706,0.209420876,0.286871051,0.746898019,0.190522354,0.380095597
Arabica,389563,15,2,A,1.130094827,1.578950552,1.678052602,0.895881416,0.223925215,0.4091116,0.177359402,0.456582946,0.090696353,0.432572116
Arabica,389563,20,1,A,3.107292081,2.914541823,2.996907244,1.724927244,1.881639221,1.447716982,1.835786544,1.533994414,1.029338248,1.684812881
Arabica,389563,20,2,A,2.891459227,3.222624032,2.132268125,2.998264508,1.518414795,2.322239216,1.846851773,1.79639978,1.664086536,2.096434014
Arabica,389563,20,3,A,2.772543035,2.626909121,2.156473889,2.364897745,1.841029685,1.976970145,1.873691992,1.664875921,1.29224492,1.944293098
Arabica,389563,25,1,A,3.709499535,4.235163933,4.646233362,2.13525074,2.446139817,1.840334452,1.715829289,0.396148614,5.002037373,1.706740582
Arabica,389563,25,2,A,2.752904495,4.356780258,3.457986514,2.375140335,2.421502945,1.783859784,2.192676733,2.730811928,2.729394122,2.300798345
Arabica,389563,30,1,A,1.37901968,0.571367246,0.134816942,0.750196813,0.590833059,0.001903366,0.43622298,0.249235805,-0.002722321,0.405678405
Arabica,389563,30,2,A,1.638908507,0.886651212,0.358079462,0.368647137,0.033863114,0.154563908,0.110273267,0.054468065,0.182288627,0.144363098
Arabica,389563,30,3,A,1.765752128,0.90310368,0.152756312,0.381994953,0.128002359,0.199178363,0.038461781,0.073980373,0.02477484,0.164323566
Arabica,389563,40,1,A,1.187947894,0.541251299,0.269167383,0.240795045,0.288168435,0.32025776,-0.048825156,0.080873606,0.215802386,0.176253938
Arabica,389563,40,2,A,1.810730003,0.401693734,0.157116101,0.393620685,0.506435318,0.30402969,0.1682647,0.026847983,0.205046096,0.279839675
Arabica,393593,15,1,A,1.727455343,1.424502468,0.572401445,0.670101133,0.477575117,0.325147164,0.553804537,0.610019676,0.375065677,0.527329525
Arabica,393593,15,2,A,1.252388385,1.343125253,0.507095573,0.760807133,0.272772248,0.232307989,0.394581334,0.481964652,0.210105202,0.428486671
Arabica,393593,20,1,A,2.863231079,2.768392861,4.274411322,2.987400877,2.815282172,2.247488793,2.660587708,2.711609909,1.97512094,2.684473892
Arabica,393593,20,2,A,2.722806032,3.019375533,3.18643123,2.716234585,2.559430474,1.852696098,2.744439892,2.556090682,2.173332821,2.485778346
Arabica,393593,25,1,A,2.951902947,3.417670548,3.017508459,3.033855186,2.843035566,1.926402832,2.795728959,2.873529582,2.476603565,2.694510425
Arabica,393593,25,2,A,2.653582562,3.859543263,2.493634081,2.548736021,2.207093647,3.272474643,2.679806162,2.820387193,1.739423776,2.705699533
Arabica,393593,30,1,A,1.927755813,1.366458148,0.763866666,0.414632567,0.337231138,0.466130269,0.301968076,0.153133902,0.540129166,0.33461919
Arabica,393593,30,2,A,1.605227114,0.37678237,0.643570838,0.648636718,0.249587233,0.392488216,0.369365,0.058375663,0.042683438,0.343690566
Arabica,393593,30,3,A,2.52096739,1.892037283,0.54043082,0.519442464,0.427337516,0.16181798,0.231627194,0.037135225,0.132911417,0.275472076
Arabica,393593,40,1,A,1.644782098,0.716692073,0.090549125,0.346848079,0.224631818,0.323975434,0.466884225,0.231024484,0.285888714,0.318672808
Arabica,393593,40,2,A,2.928656339,1.567762266,0.372825083,0.290343147,0.405473913,0.109231581,0.158329248,0.07383036,0.188118836,0.20744165
Robusta,392263,10,1,B,0.25252833,0.503683024,0.716302833,0.107018867,0.307866453,0.386381067,0.509678447,0.567997241,0.233228706,0.375788415
Robusta,392263,10,2,B,0.366702741,0.741029824,0.51006798,0.242841237,0.268150162,0.615344066,0.499191794,0.498297057,0.367546801,0.424764863
Robusta,392263,10,3,B,0.359538594,0.871630281,0.781640763,0.184624965,0.312626327,0.360540932,0.308666627,0.424169724,0.183114564,0.318125715
Robusta,392263,15,1,B,0.61098564,0.525016283,0.23234123,0.262350615,0.293890258,0.412400097,0.273156305,0.342683655,0.341270465,0.316896186
Robusta,392263,15,2,B,0.806983805,0.439192101,0.000776259,0.029568565,0.298779685,0.305400798,0.213226784,0.408673751,0.480301191,0.251129917
Robusta,392263,15,3,B,0.137926097,0.468463545,0.086799208,0.199753671,0.127373374,0.477414326,0.206189061,0.440731499,0.266643982,0.290292386
Robusta,392263,20,1,B,1.325126628,2.43180295,2.430905778,2.333401271,1.780882852,2.969592986,1.991059541,2.369378483,2.396101872,2.288863027
Robusta,392263,20,2,B,0.953946533,2.422601345,2.203914726,2.395068285,2.498079916,2.710588626,2.182243659,2.525233207,2.116207274,2.462242739
Robusta,392263,20,3,B,1.032584697,2.312971874,2.24148233,2.270358704,2.478616675,2.64674648,2.439982498,2.228715877,2.02918795,2.412884047
Robusta,392263,25,1,B,0.808067731,2.169769736,2.611966022,3.326094165,2.92833071,2.621581615,2.517383323,3.123851201,2.492925468,2.903448203
Robusta,392263,25,2,B,0.781285465,1.708156048,2.818622009,3.185352816,2.534732726,2.623609055,2.711551992,2.848376069,2.419785818,2.780724532
Robusta,392263,25,3,B,1.03207905,2.581244809,2.138385107,3.129429837,2.496402936,2.754341528,2.459558613,2.689959358,2.541849449,2.705938454
Robusta,392263,30,1,B,1.204422832,1.706843212,2.853776804,3.029527175,2.309755822,2.765420642,2.177998102,2.520932607,2.015322241,2.56072687
Robusta,392263,30,2,B,1.444423376,2.435131153,2.811391493,3.032123102,2.463309306,2.592629276,3.339684694,2.632113128,2.154640521,2.811971901
Robusta,392263,30,3,B,1.262807373,2.090524977,2.343610759,3.384235323,2.614272211,2.572923323,2.776618478,3.259680819,2.160040456,2.921546031
Robusta,392263,35,1,B,1.529410822,2.001704565,2.039530144,1.920523323,2.040946549,2.112345467,1.799730281,2.493918367,2.26787113,2.073492797
Robusta,392263,35,2,B,1.60684037,1.504595133,1.822819604,1.573066965,1.743028761,1.778114948,2.224437258,1.918374238,1.257653738,1.847404434
Robusta,392263,35,3,B,1.289040376,2.003651902,1.738649112,2.258149877,1.975609924,2.132555537,1.335076682,1.796510857,0.907299417,1.899580575
Robusta,392278,10,1,B,0.271256893,0.455148925,0.249220265,0.179528451,0.113549093,0.179968339,0.363471667,0.389622766,0.214804378,0.245228063
Robusta,392278,10,2,B,0.347998332,0.243545171,0.082654858,0.106539879,0.199414566,0.304145284,0.08703933,0.25932564,0.173591262,0.19129294
Robusta,392278,10,3,B,0.443533756,0.177334342,0.062375397,0.053465977,0.274531926,0.241662358,0.121774143,0.389278915,0.288742237,0.216142664
Robusta,392278,15,1,B,0.373799529,0.239540867,0.058726608,0.087459533,0.107960911,0.412839996,0.033040436,0.080746427,0.105325849,0.144409461
Robusta,392278,15,2,B,0.424293178,0.263960573,0.043018271,0.050025192,0.238773008,0.170597777,0.344111565,0.398483299,0.034385971,0.240398168
Robusta,392278,15,3,B,0.624678432,0.210774125,0.242358264,0.115461571,0.179167298,0.413573675,0.386980426,0.475445902,0.437029278,0.314125774
Robusta,392278,20,1,B,0.635141687,1.139524277,1.583022685,2.312658051,2.357820258,2.362594525,2.650827804,2.729033577,2.946652097,2.482586843
Robusta,392278,20,2,B,0.55773248,1.127192609,1.666470053,2.44991093,2.659924931,2.455227205,2.49428983,2.612161376,2.443676796,2.534302854
Robusta,392278,20,3,B,0.268145416,0.873034647,1.630390083,2.145302124,2.244640149,2.194792619,3.034954716,2.285083132,2.505737172,2.380954548
Robusta,392278,25,1,B,0.53940788,0.973726311,2.338072611,2.797067448,2.990323087,2.830694339,2.264497119,3.565988196,2.844651024,2.889714038
Robusta,392278,25,2,B,1.770376835,2.747935143,3.668826229,3.166503559,2.603262599,2.942659038,2.558950263,3.412914485,3.003001817,2.936857989
Robusta,392278,25,3,B,0.475724184,0.684802013,1.990001,2.41363087,2.746658889,2.730352953,2.466768033,3.233829863,2.579162641,2.718248122
Robusta,392278,30,1,B,0.641600863,1.252440404,2.325443763,3.094531246,2.118541096,2.484840058,2.533314281,2.638827711,1.884551812,2.574010878
Robusta,392278,30,2,B,0.470434671,0.835659025,1.512064585,2.909198484,2.007332093,2.421509082,2.83358371,3.322895433,2.270768192,2.69890376
Robusta,392278,30,3,B,0.453838037,0.730023629,1.945019985,2.926871395,2.255057761,2.669304953,2.140247436,3.072372105,2.514060498,2.61277073
Robusta,392278,35,1,B,0.685832253,0.538139526,1.964836471,2.0777972,2.232887159,2.370611593,1.726299583,2.156937703,1.965982705,2.112906648
Robusta,392278,35,2,B,0.429493949,0.282344284,0.958071288,1.863206047,1.526767373,2.017662189,2.471424656,2.818334265,2.152708304,2.139478906
Robusta,392278,35,3,B,0.462837879,0.895129623,1.483935723,2.465627717,1.936286493,1.998533421,2.339000114,2.294356351,1.642548711,2.206760819
Arabica,389563,10,1,B,0.63447314,0.846317393,0.789687128,0.11235358,0.503258563,0.584223303,0.498725403,0.341314842,0.388715386,0.407975138
Arabica,389563,10,2,B,1.018782006,0.923871252,0.673542105,0.353733107,0.347026648,0.56147141,0.267915215,0.498685874,0.324546648,0.405766451
Arabica,389563,10,3,B,0.648823959,0.749335666,0.70882734,0.541245681,0.316553536,0.393595299,0.364556069,0.664822036,0.19473321,0.456154524
Arabica,389563,15,1,B,0.623003788,0.858607598,0.797016834,0.232848127,0.280451415,0.435705518,0.195866695,0.287759325,0.377837793,0.286526216
Arabica,389563,15,2,B,0.494632357,0.339226152,0.169943807,0.636832856,0.442268582,0.675828162,0.207423088,0.361032732,0.307601384,0.464677084
Arabica,389563,15,3,B,0.689874754,0.833710528,0.343834842,0.215440666,0.210367845,0.302590266,0.357687511,0.600372274,0.245402429,0.337291712
Arabica,389563,20,1,B,1.847103866,1.994550291,1.871905333,1.509219743,1.24807691,1.506097403,1.401942872,1.16792643,1.270832685,1.366652672
Arabica,389563,20,2,B,1.537159121,1.817928251,1.994669684,1.620806433,1.334313856,1.392579572,1.152943471,1.218797305,0.947189954,1.343888127
Arabica,389563,20,3,B,1.385897902,2.146749328,1.949242206,1.59859736,1.148957243,1.736255227,1.234324549,1.233471585,1.184736455,1.390321193
Arabica,389563,25,1,B,1.486900783,2.194648353,1.826201993,1.884179743,1.469298143,1.966231545,1.434612671,1.677748911,1.39967687,1.686414203
