Strain,Temperature,Batch,Spore_num,Spore_conc,Host
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,1,250000,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,1,250000,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,1,250000,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,1,250000,Robusta
392263,15,A,1,250000,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,2,500000,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,15,A,0,0,Robusta
392263,20,A,2,500000,Robusta
392263,20,A,3,750000,Robusta
392263,20,A,0,0,Robusta
392263,20,A,2,500000,Robusta
392263,20,A,5,1250000,Robusta
392263,20,A,3,750000,Robusta
392263,20,A,1,250000,Robusta
392263,20,A,4,1000000,Robusta
392263,20,A,1,250000,Robusta
392263,20,A,2,500000,Robusta
392263,20,A,2,500000,Robusta
392263,20,A,3,750000,Robusta
392263,20,A,3,750000,Robusta
392263,20,A,4,1000000,Robusta
392263,20,A,4,1000000,Robusta
392263,20,A,4,1000000,Robusta
392263,20,A,4,1000000,Robusta
392263,20,A,1,250000,Robusta
392263,20,A,5,1250000,Robusta
392263,20,A,5,1250000,Robusta
392263,20,A,7,1750000,Robusta
392263,20,A,9,2250000,Robusta
392263,20,A,10,2500000,Robusta
392263,20,A,9,2250000,Robusta
392263,20,A,6,1500000,Robusta
392263,20,A,5,1250000,Robusta
392263,20,A,6,1500000,Robusta
392263,20,A,2,500000,Robusta
392263,20,A,6,1500000,Robusta
392263,20,A,10,2500000,Robusta
392263,20,A,6,1500000,Robusta
392263,20,A,4,1000000,Robusta
392263,20,A,5,1250000,Robusta
392263,20,A,7,1750000,Robusta
392263,20,A,9,2250000,Robusta
392263,20,A,7,1750000,Robusta
392263,20,A,3,750000,Robusta
392263,20,A,8,2000000,Robusta
392263,20,A,2,500000,Robusta
392263,20,A,10,2500000,Robusta
392263,25,A,12,3000000,Robusta
392263,25,A,15,3750000,Robusta
392263,25,A,12,3000000,Robusta
392263,25,A,13,3250000,Robusta
392263,25,A,12,3000000,Robusta
392263,25,A,30,7500000,Robusta
392263,25,A,18,4500000,Robusta
392263,25,A,27,6750000,Robusta
392263,25,A,16,4000000,Robusta
392263,25,A,20,5000000,Robusta
392263,25,A,4,1000000,Robusta
392263,25,A,11,2750000,Robusta
392263,25,A,17,4250000,Robusta
392263,25,A,10,2500000,Robusta
392263,25,A,22,5500000,Robusta
