Strain,Temperature,Plate,Host,Conc,Area,density,Round
389563,15,1,Arabica,587500,369.9935662,1587.865449,A
389563,15,2,Arabica,775000,514.2989204,1506.905749,A
389563,20,1,Arabica,1737500,1815.454315,957.0607124,A
389563,20,3,Arabica,1612500,1834.615592,878.9307183,A
389563,25,1,Arabica,1125000,3117.144157,360.9072739,A
389563,25,2,Arabica,1362500,2819.607728,483.2232464,A
389563,30,2,Arabica,137500,274.5880182,500.7501817,A
389563,30,3,Arabica,87500,234.4036578,373.2876902,A
389563,40,1,Arabica,37500,210.3797799,178.2490695,A
389563,40,2,Arabica,25000,316.3450576,79.02762948,A
392263,15,1,Robusta,62500,325.9213153,191.7640764,A
392263,15,2,Robusta,25000,301.5360278,82.90883243,A
392263,20,1,Robusta,725000,3682.2025,196.893028,A
392263,20,2,Robusta,1637500,4359.124763,375.6488031,A
392263,25,1,Robusta,1425000,5479.800993,260.04594,A
392263,25,2,Robusta,3225000,5645.499602,571.2514795,A
392263,30,1,Robusta,1.00E+05,762.298148,131.1822681,A
392263,30,3,Robusta,175000,904.010115,193.5819048,A
392263,40,1,Robusta,350000,933.4923722,374.9361113,A
392263,40,2,Robusta,62500,505.6163299,123.6115139,A
392278,15,1,Robusta,62500,385.1924802,162.2565424,A
392278,15,2,Robusta,162500,366.3882322,443.5186115,A
392278,20,1,Robusta,1250000,5256.765308,237.7888163,A
392278,20,2,Robusta,1450000,5999.926273,241.6696363,A
392278,25,1,Robusta,1225000,6372.887778,192.220551,A
392278,25,2,Robusta,2637500,5344.033665,493.5410526,A
392278,30,1,Robusta,187500,607.6411484,308.5702811,A
392278,30,3,Robusta,2.00E+05,678.5737945,294.7358145,A
392278,40,1,Robusta,150000,1418.1579,105.7710146,A
392278,40,2,Robusta,1.00E+05,1027.163154,97.3555171,A
393593,15,1,Arabica,512500,511.3046971,1002.337751,A
393593,15,2,Arabica,475000,377.5700244,1258.044785,A
393593,20,1,Arabica,1725000,3044.246757,566.6426337,A
393593,20,2,Arabica,1787500,2594.329114,689.0027909,A
393593,25,1,Arabica,1237500,3040.913028,406.9501458,A
393593,25,2,Arabica,1425000,2812.802277,506.6122179,A
393593,30,1,Arabica,150000,437.1763145,343.1109944,A
393593,30,2,Arabica,175000,283.2508954,617.8268201,A
393593,40,1,Arabica,25000,301.6696398,82.87211141,A
393593,40,2,Arabica,50000,402.9847814,124.0741644,A
389563,10,2,Arabica,1050000,428.2064634,2452.088162,B
389563,10,3,Arabica,1037500,377.155214,2750.85684,B
389563,15,1,Arabica,1137500,395.1044261,2878.985718,B
389563,15,2,Arabica,687500,321.1298996,2140.878196,B
389563,20,2,Arabica,3012500,1823.962833,1651.623567,B
389563,20,3,Arabica,3775000,1952.975845,1932.947614,B
389563,25,1,Arabica,4525000,2215.465885,2042.459796,B
389563,25,3,Arabica,5150000,2129.567352,2418.33159,B
389563,30,1,Arabica,3862500,2639.988924,1463.07432,B
389563,30,3,Arabica,4375000,2347.091223,1864.009356,B
389563,35,2,Arabica,4.00E+05,2097.598506,190.6942624,B
389563,35,3,Arabica,425000,2508.146262,169.4478534,B
393593,10,1,Arabica,9.00E+05,580.9255628,1549.251845,B
393593,10,3,Arabica,1162500,579.0339545,2007.654285,B
393593,15,2,Arabica,875000,312.3859234,2801.0225,B
393593,15,3,Arabica,1112500,390.0837916,2851.95136,B
393593,20,1,Arabica,2350000,3347.315171,702.0551935,B
393593,20,3,Arabica,3100000,3104.581682,998.5242192,B
393593,25,1,Arabica,6250000,5428.37042,1151.358422,B
393593,25,3,Arabica,3550000,3507.472084,1012.124948,B
393593,30,1,Arabica,2875000,4252.96979,675.9982182,B
393593,30,2,Arabica,3700000,3888.656667,951.4853886,B
393593,35,2,Arabica,525000,4462.998191,117.6339262,B
393593,35,3,Arabica,275000,5566.941265,49.39876081,B
392263,10,2,Robusta,4.00E+05,298.6745349,1339.250432,B
392263,10,3,Robusta,275000,270.1607012,1017.912667,B
392263,15,1,Robusta,262500,184.9097052,1419.611803,B
392263,15,2,Robusta,287500,181.4369518,1584.572476,B
392263,20,2,Robusta,3075000,3095.17021,993.4833277,B
392263,20,3,Robusta,2625000,3018.332769,869.6854194,B
392263,25,1,Robusta,6787500,3953.401565,1716.875933,B
392263,25,3,Robusta,6587500,3587.740144,1836.114026,B
392263,30,2,Robusta,4525000,6661.539394,679.2724222,B
392263,30,3,Robusta,4987500,5630.670503,885.7737275,B
392263,35,1,Robusta,6162500,3835.044096,1606.891563,B
392263,35,2,Robusta,8237500,6417.555181,1283.588496,B
392278,10,1,Robusta,37500,177.7246982,211.000499,B
392278,10,3,Robusta,87500,121.774782,718.5395741,B
392278,15,1,Robusta,37500,116.3172812,322.3940554,B
392278,15,3,Robusta,75000,185.4729743,404.3715818,B
392278,20,2,Robusta,1187500,2649.085498,448.2679026,B
392278,20,3,Robusta,1112500,2347.612358,473.8857317,B
392278,25,2,Robusta,2825000,4991.71492,565.9377679,B
392278,25,3,Robusta,2225000,2880.449378,772.4489161,B
392278,30,2,Robusta,2650000,2689.91807,985.1601168,B
392278,30,3,Robusta,2937500,2745.176097,1070.058858,B
392278,35,2,Robusta,1737500,2120.816723,819.2598545,B
392278,35,3,Robusta,912500,1903.940389,479.2692068,B
